 #  Electrostatic field (a.u.)
 #  Element:  C,  Z =   6  atomic weight = 1.2000000E+01 g/mol
 #  Number of electrons =  0
 #  MNUCL =  4,   MELEC =  4
 #
 #   I       R(I)           RHON(I)         RVN(I)          DEN(I)          RVST(I)
 #------------------------------------------------------------------------------------
     1  0.00000000E+00  1.21983662E+13 -2.77555756E-16  0.00000000E+00 -2.77555756E-16
     2  6.27574714E-10  1.21983662E+13  1.05668954E-04  0.00000000E+00  1.05668954E-04
     3  1.30037681E-09  1.21983662E+13  2.18953145E-04  0.00000000E+00  2.18953145E-04
     4  1.99770859E-09  1.21983662E+13  3.36367565E-04  0.00000000E+00  3.36367565E-04
     5  2.72046194E-09  1.21983662E+13  4.58062382E-04  0.00000000E+00  4.58062382E-04
     6  3.46956097E-09  1.21983662E+13  5.84193197E-04  0.00000000E+00  5.84193197E-04
     7  4.24596318E-09  1.21983662E+13  7.14921233E-04  0.00000000E+00  7.14921233E-04
     8  5.05066069E-09  1.21983663E+13  8.50413537E-04  0.00000000E+00  8.50413537E-04
     9  5.88468142E-09  1.21983663E+13  9.90843186E-04  0.00000000E+00  9.90843186E-04
    10  6.74909040E-09  1.21983663E+13  1.13638951E-03  0.00000000E+00  1.13638951E-03
    11  7.64499107E-09  1.21983663E+13  1.28723830E-03  0.00000000E+00  1.28723830E-03
    12  8.57352668E-09  1.21983663E+13  1.44358205E-03  0.00000000E+00  1.44358205E-03
    13  9.53588166E-09  1.21983664E+13  1.60562019E-03  0.00000000E+00  1.60562019E-03
    14  1.05332831E-08  1.21983664E+13  1.77355934E-03  0.00000000E+00  1.77355934E-03
    15  1.15670024E-08  1.21983665E+13  1.94761355E-03  0.00000000E+00  1.94761355E-03
    16  1.26383564E-08  1.21983665E+13  2.12800459E-03  0.00000000E+00  2.12800459E-03
    17  1.37487096E-08  1.21983666E+13  2.31496217E-03  0.00000000E+00  2.31496217E-03
    18  1.48994754E-08  1.21983666E+13  2.50872429E-03  0.00000000E+00  2.50872429E-03
    19  1.60921180E-08  1.21983667E+13  2.70953749E-03  0.00000000E+00  2.70953749E-03
    20  1.73281541E-08  1.21983668E+13  2.91765713E-03  0.00000000E+00  2.91765713E-03
    21  1.86091549E-08  1.21983669E+13  3.13334778E-03  0.00000000E+00  3.13334778E-03
    22  1.99367479E-08  1.21983670E+13  3.35688346E-03  0.00000000E+00  3.35688346E-03
    23  2.13126188E-08  1.21983671E+13  3.58854800E-03  0.00000000E+00  3.58854800E-03
    24  2.27385137E-08  1.21983672E+13  3.82863542E-03  0.00000000E+00  3.82863542E-03
    25  2.42162411E-08  1.21983674E+13  4.07745021E-03  0.00000000E+00  4.07745021E-03
    26  2.57476743E-08  1.21983675E+13  4.33530780E-03  0.00000000E+00  4.33530780E-03
    27  2.73347533E-08  1.21983677E+13  4.60253482E-03  0.00000000E+00  4.60253482E-03
    28  2.89794874E-08  1.21983678E+13  4.87946960E-03  0.00000000E+00  4.87946960E-03
    29  3.06839574E-08  1.21983680E+13  5.16646250E-03  0.00000000E+00  5.16646250E-03
    30  3.24503183E-08  1.21983683E+13  5.46387638E-03  0.00000000E+00  5.46387638E-03
    31  3.42808018E-08  1.21983685E+13  5.77208698E-03  0.00000000E+00  5.77208698E-03
    32  3.61777188E-08  1.21983688E+13  6.09148342E-03  0.00000000E+00  6.09148342E-03
    33  3.81434625E-08  1.21983691E+13  6.42246862E-03  0.00000000E+00  6.42246862E-03
    34  4.01805105E-08  1.21983694E+13  6.76545979E-03  0.00000000E+00  6.76545979E-03
    35  4.22914286E-08  1.21983697E+13  7.12088893E-03  0.00000000E+00  7.12088893E-03
    36  4.44788733E-08  1.21983701E+13  7.48920331E-03  0.00000000E+00  7.48920331E-03
    37  4.67455948E-08  1.21983705E+13  7.87086602E-03  0.00000000E+00  7.87086602E-03
    38  4.90944406E-08  1.21983709E+13  8.26635648E-03  0.00000000E+00  8.26635648E-03
    39  5.15283584E-08  1.21983714E+13  8.67617104E-03  0.00000000E+00  8.67617104E-03
    40  5.40503998E-08  1.21983719E+13  9.10082349E-03  0.00000000E+00  9.10082349E-03
    41  5.66637237E-08  1.21983725E+13  9.54084571E-03  0.00000000E+00  9.54084571E-03
    42  5.93715997E-08  1.21983731E+13  9.99678822E-03  0.00000000E+00  9.99678822E-03
    43  6.21774123E-08  1.21983738E+13  1.04692209E-02  0.00000000E+00  1.04692209E-02
    44  6.50846643E-08  1.21983745E+13  1.09587334E-02  0.00000000E+00  1.09587334E-02
    45  6.80969807E-08  1.21983753E+13  1.14659363E-02  0.00000000E+00  1.14659363E-02
    46  7.12181134E-08  1.21983761E+13  1.19914611E-02  0.00000000E+00  1.19914611E-02
    47  7.44519447E-08  1.21983771E+13  1.25359616E-02  0.00000000E+00  1.25359616E-02
    48  7.78024917E-08  1.21983780E+13  1.31001142E-02  0.00000000E+00  1.31001142E-02
    49  8.12739112E-08  1.21983791E+13  1.36846186E-02  0.00000000E+00  1.36846186E-02
    50  8.48705037E-08  1.21983803E+13  1.42901991E-02  0.00000000E+00  1.42901991E-02
    51  8.85967186E-08  1.21983816E+13  1.49176046E-02  0.00000000E+00  1.49176046E-02
    52  9.24571585E-08  1.21983829E+13  1.55676103E-02  0.00000000E+00  1.55676103E-02
    53  9.64565846E-08  1.21983844E+13  1.62410177E-02  0.00000000E+00  1.62410177E-02
    54  1.00599921E-07  1.21983860E+13  1.69386560E-02  0.00000000E+00  1.69386560E-02
    55  1.04892262E-07  1.21983877E+13  1.76613826E-02  0.00000000E+00  1.76613826E-02
    56  1.09338874E-07  1.21983896E+13  1.84100846E-02  0.00000000E+00  1.84100846E-02
    57  1.13945205E-07  1.21983916E+13  1.91856788E-02  0.00000000E+00  1.91856788E-02
    58  1.18716885E-07  1.21983938E+13  1.99891137E-02  0.00000000E+00  1.99891137E-02
    59  1.23659740E-07  1.21983961E+13  2.08213697E-02  0.00000000E+00  2.08213697E-02
    60  1.28779788E-07  1.21983987E+13  2.16834602E-02  0.00000000E+00  2.16834602E-02
    61  1.34083253E-07  1.21984014E+13  2.25764330E-02  0.00000000E+00  2.25764330E-02
    62  1.39576566E-07  1.21984043E+13  2.35013711E-02  0.00000000E+00  2.35013711E-02
    63  1.45266377E-07  1.21984075E+13  2.44593937E-02  0.00000000E+00  2.44593937E-02
    64  1.51159554E-07  1.21984109E+13  2.54516574E-02  0.00000000E+00  2.54516574E-02
    65  1.57263196E-07  1.21984146E+13  2.64793573E-02  0.00000000E+00  2.64793573E-02
    66  1.63584636E-07  1.21984186E+13  2.75437281E-02  0.00000000E+00  2.75437281E-02
    67  1.70131453E-07  1.21984228E+13  2.86460455E-02  0.00000000E+00  2.86460455E-02
    68  1.76911471E-07  1.21984274E+13  2.97876268E-02  0.00000000E+00  2.97876268E-02
    69  1.83932773E-07  1.21984324E+13  3.09698329E-02  0.00000000E+00  3.09698329E-02
    70  1.91203706E-07  1.21984377E+13  3.21940690E-02  0.00000000E+00  3.21940690E-02
    71  1.98732888E-07  1.21984435E+13  3.34617857E-02  0.00000000E+00  3.34617857E-02
    72  2.06529216E-07  1.21984497E+13  3.47744811E-02  0.00000000E+00  3.47744811E-02
    73  2.14601874E-07  1.21984563E+13  3.61337012E-02  0.00000000E+00  3.61337012E-02
    74  2.22960342E-07  1.21984635E+13  3.75410417E-02  0.00000000E+00  3.75410417E-02
    75  2.31614400E-07  1.21984712E+13  3.89981491E-02  0.00000000E+00  3.89981491E-02
    76  2.40574141E-07  1.21984794E+13  4.05067224E-02  0.00000000E+00  4.05067224E-02
    77  2.49849977E-07  1.21984883E+13  4.20685141E-02  0.00000000E+00  4.20685141E-02
    78  2.59452644E-07  1.21984979E+13  4.36853317E-02  0.00000000E+00  4.36853317E-02
    79  2.69393217E-07  1.21985082E+13  4.53590392E-02  0.00000000E+00  4.53590392E-02
    80  2.79683113E-07  1.21985192E+13  4.70915585E-02  0.00000000E+00  4.70915585E-02
    81  2.90334103E-07  1.21985311E+13  4.88848706E-02  0.00000000E+00  4.88848706E-02
    82  3.01358317E-07  1.21985439E+13  5.07410173E-02  0.00000000E+00  5.07410173E-02
    83  3.12768255E-07  1.21985576E+13  5.26621026E-02  0.00000000E+00  5.26621026E-02
    84  3.24576797E-07  1.21985723E+13  5.46502939E-02  0.00000000E+00  5.46502939E-02
    85  3.36797207E-07  1.21985881E+13  5.67078236E-02  0.00000000E+00  5.67078236E-02
    86  3.49443146E-07  1.21986051E+13  5.88369909E-02  0.00000000E+00  5.88369909E-02
    87  3.62528678E-07  1.21986233E+13  6.10401624E-02  0.00000000E+00  6.10401624E-02
    88  3.76068280E-07  1.21986428E+13  6.33197742E-02  0.00000000E+00  6.33197742E-02
    89  3.90076849E-07  1.21986638E+13  6.56783332E-02  0.00000000E+00  6.56783332E-02
