    Radial grid:  A*(R(I)+R0)+B*LOG(R(I)+R0)+C=I

    R0= 1.78012201018E-08  RN= 3.77945225092E-04
     C= 4.98000000000E+02   N=  996

     A= 1.89832748621E+06   B= 2.78525012550E+01  C= 4.98000000000E+02

    I        R(I)         DIFR(I)
   ----------------------------------
     1  0.0000000E+00  6.3835016E-10
     2  6.2757471E-10  6.6082670E-10
     3  1.3003768E-09  6.8492093E-10
     4  1.9977086E-09  7.0989127E-10
     5  2.7204619E-09  7.3576942E-10
     6  3.4695610E-09  7.6258819E-10
     7  4.2459632E-09  7.9038157E-10
     8  5.0506607E-09  8.1918475E-10
     9  5.8846814E-09  8.4903419E-10
    10  6.7490904E-09  8.7996765E-10
    11  7.6449911E-09  9.1202422E-10
    12  8.5735267E-09  9.4524438E-10
    13  9.5358817E-09  9.7967008E-10
    14  1.0533283E-08  1.0153447E-09
    15  1.1567002E-08  1.0523132E-09
    16  1.2638356E-08  1.0906222E-09
    17  1.3748710E-08  1.1303198E-09
    18  1.4899475E-08  1.1714558E-09
    19  1.6092118E-08  1.2140821E-09
    20  1.7328154E-08  1.2582520E-09
    21  1.8609155E-08  1.3040209E-09
    22  1.9936748E-08  1.3514460E-09
    23  2.1312619E-08  1.4005867E-09
    24  2.2738514E-08  1.4515044E-09
    25  2.4216241E-08  1.5042626E-09
    26  2.5747674E-08  1.5589271E-09
    27  2.7334753E-08  1.6155658E-09
    28  2.8979487E-08  1.6742491E-09
    29  3.0683957E-08  1.7350500E-09
    30  3.2450318E-08  1.7980438E-09
    31  3.4280802E-08  1.8633084E-09
    32  3.6177719E-08  1.9309245E-09
    33  3.8143462E-08  2.0009756E-09
    34  4.0180511E-08  2.0735480E-09
    35  4.2291429E-08  2.1487309E-09
    36  4.4478873E-08  2.2266167E-09
    37  4.6745595E-08  2.3073008E-09
    38  4.9094441E-08  2.3908820E-09
    39  5.1528358E-08  2.4774622E-09
    40  5.4050400E-08  2.5671471E-09
    41  5.6663724E-08  2.6600456E-09
    42  5.9371600E-08  2.7562705E-09
    43  6.2177412E-08  2.8559384E-09
    44  6.5084664E-08  2.9591696E-09
    45  6.8096981E-08  3.0660886E-09
    46  7.1218113E-08  3.1768238E-09
    47  7.4451945E-08  3.2915081E-09
    48  7.7802492E-08  3.4102786E-09
    49  8.1273911E-08  3.5332770E-09
    50  8.4870504E-08  3.6606496E-09
    51  8.8596719E-08  3.7925473E-09
    52  9.2457159E-08  3.9291260E-09
    53  9.6456585E-08  4.0705467E-09
    54  1.0059992E-07  4.2169755E-09
    55  1.0489226E-07  4.3685838E-09
    56  1.0933887E-07  4.5255482E-09
    57  1.1394520E-07  4.6880512E-09
    58  1.1871689E-07  4.8562809E-09
    59  1.2365974E-07  5.0304312E-09
    60  1.2877979E-07  5.2107020E-09
    61  1.3408325E-07  5.3972994E-09
    62  1.3957657E-07  5.5904357E-09
    63  1.4526638E-07  5.7903298E-09
    64  1.5115955E-07  5.9972069E-09
    65  1.5726320E-07  6.2112991E-09
    66  1.6358464E-07  6.4328455E-09
    67  1.7013145E-07  6.6620918E-09
    68  1.7691147E-07  6.8992912E-09
    69  1.8393277E-07  7.1447040E-09
