 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 1.52383E+08 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
   0.00000000E+00  0.00000000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   9.86424329E-05  7.61557484E-13  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   1.23303221E-04  1.18993704E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   1.47961852E-04  1.71346271E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   1.72623359E-04  2.33224551E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   1.97283068E-04  3.04617442E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   2.21943177E-04  3.85530496E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   2.46603566E-04  4.75963713E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   2.71264158E-04  5.75917092E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   2.95924902E-04  6.85390633E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   3.20584658E-04  8.04378786E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   3.45245691E-04  9.32892652E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   3.69905828E-04  1.07092113E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   3.94566137E-04  1.21846977E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   4.19226586E-04  1.37553857E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   4.43887153E-04  1.54212754E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   4.68547063E-04  1.71823111E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   4.93207851E-04  1.90386040E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   5.17868022E-04  2.09900430E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   5.42528315E-04  2.30366837E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   5.67188714E-04  2.51785259E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   5.91849205E-04  2.74155698E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   6.16509777E-04  2.97478153E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   6.41169868E-04  3.21752069E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   6.65830597E-04  3.46978557E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   6.90490867E-04  3.73156506E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
